subject,subject_id,relation,object,object_id,surface_text,weight
soup,/c/en/soup,AtLocation, cupboard,/c/en/cupboard,*Something you find in [[the cupboard]] is [[soup]],1.0
herbal tea,/c/en/herbal_tea,AtLocation, cupboard,/c/en/cupboard,*Something you find in [[the cupboard]] is [[herbal tea]],1.0
 cupboard,/c/en/cupboard,UsedFor,holding silverware,/c/en/holding_silverware,[[a cupboard]] is used for [[holding silverware]],1.0
a cockroach,/c/en/cockroach,AtLocation, cupboard,/c/en/cupboard,*Something you find in [[a cupboard]] is [[a cockroach]],1.0
ants,/c/en/ants,AtLocation, cupboard,/c/en/cupboard,*Something you find in [[the cupboard]] is [[ants]],1.0
a set of china,/c/en/set_of_china,AtLocation, cupboard,/c/en/cupboard,*Something you find in [[a cupboard]] is [[a set of China]],1.0
a liquor glass,/c/en/liquor_glass,AtLocation, cupboard,/c/en/cupboard,You are likely to find [[a liquor glass]] in [[a cupboard]],1.0
 cupboard,/c/en/cupboard/n/wikt/en_1,IsA,closet,/c/en/closet,,1.0
a storage pan,/c/en/storage_pan,AtLocation, cupboard,/c/en/cupboard,You are likely to find [[a storage pan]] in [[a cupboard]],1.0
a pl;ate,/c/en/pl_ate,AtLocation, cupboard,/c/en/cupboard,*Something you find in [[a cupboard]] is [[a pl;ate]],1.0
 cupboard,/c/en/cupboard,UsedFor,stacking your dinner plates,/c/en/stacking_dinner_plates,[[a cupboard]] is used for [[stacking your dinner plates]],1.0
a dinner plate,/c/en/dinner_plate,AtLocation, cupboard,/c/en/cupboard,*Something you find in [[the cupboard]] is [[a dinner plate]],1.0
a towel,/c/en/towel,AtLocation, cupboard,/c/en/cupboard,Somewhere [[a towel]] can be is in [[the cupboard]],1.0
silverware,/c/en/silverware,AtLocation, cupboard,/c/en/cupboard,*Something you find in [[the cupboard]] is [[silverware]],1.0
peanut butter,/c/en/peanut_butter,AtLocation, cupboard,/c/en/cupboard,*Something you find in [[the cupboard]] is [[peanut butter]],1.0
a can of beans,/c/en/can_of_beans,AtLocation, cupboard,/c/en/cupboard,*Something you find in [[a cupboard]] is [[a can of beans]],1.0
canned vegtables,/c/en/canned_vegtables,AtLocation, cupboard,/c/en/cupboard,*Something you find in [[a cupboard]] is [[canned vegtables]],1.0
 cupboard,/c/en/cupboard,UsedFor,storing bones,/c/en/storing_bones,[[a cupboard]] is for [[storing bones]],1.0
a container can,/c/en/container_can,AtLocation, cupboard,/c/en/cupboard,You are likely to find [[a container can]] in [[a cupboard]],1.0
a hook,/c/en/hook,AtLocation, cupboard,/c/en/cupboard,*Something you find in [[a cupboard]] is [[a hook]],1.0
corn flakes,/c/en/corn_flakes,AtLocation, cupboard,/c/en/cupboard,*Something you find in [[the cupboard]] is [[corn flakes]],1.0
linens,/c/en/linens,AtLocation, cupboard,/c/en/cupboard,*Something you find in [[a cupboard]] is [[linens]],1.0
 cupboard,/c/en/cupboard,UsedFor,store crockery,/c/en/store_crockery,You can use [[a cupboard]] to [[store crockery]],1.0
 cupboard,/c/en/cupboard,IsA,closet,/c/en/closet/n,,1.0
a muffin,/c/en/muffin,AtLocation, cupboard,/c/en/cupboard,*Something you find in [[a cupboard]] is [[a muffin]],1.0
 cupboard,/c/en/cupboard,CapableOf,store many different items,/c/en/store_many_different_items,[[a cupboard]] can [[store many different items]],1.0
 cupboard,/c/en/cupboard,UsedFor,dishes,/c/en/dishes,[[a cupboard]] is for [[dishes]],1.0
