subject,subject_id,relation,object,object_id,surface_text,weight
แก้วน้ำ,/c/th/แก้วน้ํา/n/wn/artifact,Synonym,glass,/c/en/glass/n/wn/artifact,[[แก้วน้ำ]] is a translation of [[glass]],2.0
menggelas,/c/id/menggelas/v/wn/possession,Synonym,glass,/c/en/glass/v/wn/possession,[[menggelas]] is a translation of [[glass]],2.0
memasang kaca pd,/c/ms/memasang_kaca_pd/v/wn/possession,Synonym,glass,/c/en/glass/v/wn/possession,[[memasang kaca pd]] is a translation of [[glass]],2.0
kaca,/c/id/kaca/n/wn/substance,Synonym,glass,/c/en/glass/n/wn/substance,[[kaca]] is a translation of [[glass]],2.0
ground glass,/c/en/ground_glass/n/wn/substance,IsA,glass,/c/en/glass/n/wn/substance,[[ground glass]] is a type of [[glass]],2.0
bicchiere,/c/it/bicchiere/n/wn/quantity,Synonym,glass,/c/en/glass/n/wn/quantity,[[bicchiere]] is a translation of [[glass]],2.0
A glass,/c/en/glass,HasProperty,dirty,/c/en/dirty,[[A glass]] can be [[dirty]],2.0
verre,/c/fr/verre/v/wn/possession,Synonym,glass,/c/en/glass/v/wn/possession,[[verre]] is a translation of [[glass]],2.0
グラス１杯の量,/c/ja/グラス_1_杯の量/n/wn/quantity,Synonym,glass,/c/en/glass/n/wn/quantity,[[グラス１杯の量]] is a translation of [[glass]],2.0
ガラス,/c/ja/ガラス/n/wn/substance,Synonym,glass,/c/en/glass/n/wn/substance,[[ガラス]] is a translation of [[glass]],2.0
edalontzi,/c/eu/edalontzi/n/wn/artifact,Synonym,glass,/c/en/glass/n/wn/artifact,[[edalontzi]] is a translation of [[glass]],2.0
A glass,/c/en/glass,HasProperty,clean,/c/en/clean,[[A glass]] can be [[clean]],2.0
lasi,/c/fi/lasi/n/wn/substance,Synonym,glass,/c/en/glass/n/wn/substance,[[lasi]] is a translation of [[glass]],2.0
طَاسَة,/c/ar/طاسة/n/wn/artifact,Synonym,glass,/c/en/glass/n/wn/artifact,[[طَاسَة]] is a translation of [[glass]],2.0
硝子,/c/ja/硝子/n/jmdict/1,Synonym,glass,/c/en/glass,,2.0
caklo,/c/sh/caklo/n,RelatedTo,glass,/c/en/glass,,2.0
glass,/c/en/glass/v/wn/change,Synonym,glaze,/c/en/glaze/v/wn/change,[[glass]] is a synonym of [[glaze]],2.0
vaso,/c/es/vaso/n/wn/artifact,Synonym,glass,/c/en/glass/n/wn/artifact,[[vaso]] is a translation of [[glass]],2.0
杯,/c/ja/杯/n/wn/artifact,Synonym,glass,/c/en/glass/n/wn/artifact,[[杯]] is a translation of [[glass]],2.0
gelas,/c/id/gelas/n/wn/quantity,Synonym,glass,/c/en/glass/n/wn/quantity,[[gelas]] is a translation of [[glass]],2.0
vetro,/c/it/vetro/n/wn/substance,Synonym,glass,/c/en/glass/n/wn/substance,[[vetro]] is a translation of [[glass]],2.0
got,/c/ca/got/n/wn/artifact,Synonym,glass,/c/en/glass/n/wn/artifact,[[got]] is a translation of [[glass]],2.0
gotë,/c/sq/gotë/n/wn/artifact,Synonym,glass,/c/en/glass/n/wn/artifact,[[gotë]] is a translation of [[glass]],2.0
beer glass,/c/en/beer_glass/n/wn/artifact,IsA,glass,/c/en/glass/n/wn/artifact,[[beer glass]] is a type of [[glass]],2.0
glas,/c/no/glas/n/wn/substance,Synonym,glass,/c/en/glass/n/wn/substance,[[glas]] is a translation of [[glass]],2.0
water glass,/c/en/water_glass/n/wn/artifact,IsA,glass,/c/en/glass/n/wn/artifact,[[water glass]] is a type of [[glass]],2.0
glass in,/c/en/glass_in/v/wn/contact,Synonym,glass,/c/en/glass/v/wn/contact,[[glass in]] is a synonym of [[glass]],2.0
glass,/c/no/glass/n/wn/artifact,Synonym,glass,/c/en/glass/n/wn/artifact,[[glass]] is a translation of [[glass]],2.0
wire glass,/c/en/wire_glass/n/wn/substance,IsA,glass,/c/en/glass/n/wn/substance,[[wire glass]] is a type of [[glass]],2.0
qelq,/c/sq/qelq/n/wn/substance,Synonym,glass,/c/en/glass/n/wn/substance,[[qelq]] is a translation of [[glass]],2.0
頗梨,/c/ja/頗梨,Synonym,glass,/c/en/glass,,2.0
čaša,/c/sh/čaša/n,RelatedTo,glass,/c/en/glass,,2.0
rummer,/c/en/rummer/n/wn/artifact,IsA,glass,/c/en/glass/n/wn/artifact,[[rummer]] is a type of [[glass]],2.0
glasshouse,/c/en/glasshouse,DerivedFrom,glass,/c/en/glass/n,,2.0
liqueur glass,/c/en/liqueur_glass/n/wn/artifact,IsA,glass,/c/en/glass/n/wn/artifact,[[liqueur glass]] is a type of [[glass]],2.0
kristal,/c/eu/kristal/n/wn/substance,Synonym,glass,/c/en/glass/n/wn/substance,[[kristal]] is a translation of [[glass]],2.0
コップ,/c/ja/コップ/n/wn/artifact,Synonym,glass,/c/en/glass/n/wn/artifact,[[コップ]] is a translation of [[glass]],2.0
verre,/c/fr/verre/v/wn/change,Synonym,glass,/c/en/glass/v/wn/change,[[verre]] is a translation of [[glass]],2.0
グラス,/c/ja/グラス/n/jmdict/1,Synonym,glass,/c/en/glass,,2.0
wineglass,/c/en/wineglass/n/wn/artifact,IsA,glass,/c/en/glass/n/wn/artifact,[[wineglass]] is a type of [[glass]],2.0
glass,/c/en/glass/n,Synonym,staklo,/c/sh/staklo,,2.0
