subject,subject_id,relation,object,object_id,surface_text,weight
Butter,/c/en/butter,ReceivesAction,used in many baking recipes,/c/en/used_in_many_baking_recipes,[[Butter]] is [[used in many baking recipes]],2.0
バター,/c/ja/バター/n/wn/person,Synonym,butter,/c/en/butter/n/wn/person,[[バター]] is a translation of [[butter]],2.0
バター,/c/ja/バター/n,Synonym,butter,/c/en/butter,,2.0
stick,/c/en/stick/n/wn/food,IsA,butter,/c/en/butter/n/wn/food,[[stick]] is a type of [[butter]],2.0
butter,/c/en/butter,HasProperty,pale yellow,/c/en/pale_yellow,[[butter]] is generally [[pale yellow]],2.0
mantequilla,/c/es/mantequilla/n/wn/food,Synonym,butter,/c/en/butter/n/wn/food,[[mantequilla]] is a translation of [[butter]],2.0
חֶמְאָה,/c/he/חמאה/n/wn/food,Synonym,butter,/c/en/butter/n/wn/food,[[חֶמְאָה]] is a translation of [[butter]],2.0
buruarekin jotzen duen borrokalari,/c/eu/buruarekin_jotzen_duen_borrokalari/n/wn/person,Synonym,butter,/c/en/butter/n/wn/person,[[buruarekin jotzen duen borrokalari]] is a translation of [[butter]],2.0
Butter,/c/en/butter,CapableOf,coat a frying pan,/c/en/coat_frying_pan,[[Butter]] can [[coat a frying pan]],2.0
minyak sapi,/c/ms/minyak_sapi/n/wn/food,Synonym,butter,/c/en/butter/n/wn/food,[[minyak sapi]] is a translation of [[butter]],2.0
maslo,/c/sh/maslo/n,RelatedTo,butter,/c/en/butter,,2.0
menyapukan mentega,/c/ms/menyapukan_mentega/v/wn/contact,Synonym,butter,/c/en/butter/v/wn/contact,[[menyapukan mentega]] is a translation of [[butter]],2.0
butter,/c/en/butter/n/wn/person,IsA,combatant,/c/en/combatant/n/wn/person,[[butter]] is a type of [[combatant]],2.0
زُبْدَة,/c/ar/زبدة/n/wn/food,Synonym,butter,/c/en/butter/n/wn/food,[[زُبْدَة]] is a translation of [[butter]],2.0
smør,/c/no/smør/n/wn/food,Synonym,butter,/c/en/butter/n/wn/food,[[smør]] is a translation of [[butter]],2.0
butter,/c/en/butter,AtLocation,a store,/c/en/store,You are likely to find [[butter]] in [[a store]].,2.0
butter,/c/en/butter,UsedFor,flavoring,/c/en/flavoring,[[butter]] is for [[flavoring]].,2.0
maslac,/c/sh/maslac/n,RelatedTo,butter,/c/en/butter,,2.0
butter,/c/en/butter,ReceivesAction,served at a restaurant,/c/en/served_at_restaurant,[[butter]] is [[served at a restaurant]],2.0
memberi mentega,/c/id/memberi_mentega/v/wn/contact,Synonym,butter,/c/en/butter/v/wn/contact,[[memberi mentega]] is a translation of [[butter]],2.0
mentega,/c/id/mentega/n/wn/food,Synonym,butter,/c/en/butter/n/wn/food,[[mentega]] is a translation of [[butter]],2.0
butter,/c/en/butter/n/wikt/en_1,Synonym,botter,/c/nds/botter,,2.0
ทาเนย,/c/th/ทาเนย/v/wn/contact,Synonym,butter,/c/en/butter/v/wn/contact,[[ทาเนย]] is a translation of [[butter]],2.0
バター,/c/ja/バター/n/wn/food,Synonym,butter,/c/en/butter/n/wn/food,[[バター]] is a translation of [[butter]],2.0
puskija,/c/fi/puskija/n/wn/person,Synonym,butter,/c/en/butter/n/wn/person,[[puskija]] is a translation of [[butter]],2.0
beurre,/c/fr/beurre/n/wn/person,Synonym,butter,/c/en/butter/n/wn/person,[[beurre]] is a translation of [[butter]],2.0
เนย,/c/th/เนย/n/wn/food,Synonym,butter,/c/en/butter/n/wn/food,[[เนย]] is a translation of [[butter]],2.0
butter,/c/en/butter/n/wn/food,IsA,dairy product,/c/en/dairy_product/n/wn/food,[[butter]] is a type of [[dairy product]],2.0
牛酪,/c/ja/牛酪/n,Synonym,butter,/c/en/butter,,2.0
masło,/c/pl/masło/n/wn/food,Synonym,butter,/c/en/butter/n/wn/food,[[masło]] is a translation of [[butter]],2.0
puter,/c/sh/puter/n,RelatedTo,butter,/c/en/butter,,2.0
butter,/c/en/butter,RelatedTo,margarine,/c/en/margarine,[[butter]] is related to [[margarine]],1.681
butter,/c/en/butter,RelatedTo,yellow,/c/en/yellow,[[butter]] is related to [[yellow]],1.6760000000000002
黄油,/c/zh/黄油,Synonym,butter,/c/en/butter,,1.5
butter,/c/en/butter,RelatedTo,dairy,/c/en/dairy,[[butter]] is related to [[dairy]],1.415
butter,/c/en/butter,RelatedTo,spread,/c/en/spread,[[butter]] is related to [[spread]],1.396
butter,/c/en/butter,RelatedTo,milk,/c/en/milk,[[butter]] is related to [[milk]],1.193
butter,/c/en/butter,RelatedTo,toast,/c/en/toast,[[butter]] is related to [[toast]],1.072
butter,/c/en/butter/n/wikt/en_1,Synonym,tereyağı,/c/tr/tereyağı,,1.0
ymenyn,/c/cy/ymenyn/n,RelatedTo,butter,/c/en/butter,,1.0
manteiga,/c/tet/manteiga/n,RelatedTo,butter,/c/en/butter,,1.0
butter,/c/en/butter/n/wikt/en_1,Synonym,май,/c/tt/май,,1.0
smørelse,/c/da/smørelse/n,RelatedTo,butter,/c/en/butter,,1.0
voidella,/c/fi/voidella/v,RelatedTo,butter,/c/en/butter,,1.0
cannabutter,/c/en/cannabutter,DerivedFrom,butter,/c/en/butter,,1.0
にゅうらく,/c/ja/にゅうらく/n,RelatedTo,butter,/c/en/butter,,1.0
unbuttered,/c/en/unbuttered/a,RelatedTo,butter,/c/en/butter,,1.0
churning,/c/en/churning/n,RelatedTo,butter,/c/en/butter,,1.0
baluga,/c/gl/baluga/n,RelatedTo,butter,/c/en/butter,,1.0
tartine,/c/en/tartine/n,RelatedTo,butter,/c/en/butter,,1.0
butter,/c/en/butter/n/wikt/en_1,Synonym,سېرىق ماي,/c/ug/سېرىق_ماي,,1.0
butter,/c/en/butter/n/wikt/en_1,Synonym,bá tah,/c/nan/bá_tah,,1.0
moy,/c/uz/moy/n,RelatedTo,butter,/c/en/butter,,1.0
सर्पिस्,/c/sa/सर्पिस्/n,RelatedTo,butter,/c/en/butter,,1.0
