subject,subject_id,relation,object,object_id,surface_text,weight
fourchette,/c/fr/fourchette/n/wn/artifact,Synonym,fork,/c/en/fork/n/wn/artifact,[[fourchette]] is a translation of [[fork]],2.0
gaffel,/c/da/gaffel/n/wn/artifact,Synonym,fork,/c/en/fork/n/wn/artifact,[[gaffel]] is a translation of [[fork]],2.0
gaffel,/c/no/gaffel/n/wn/artifact,Synonym,fork,/c/en/fork/n/wn/artifact,[[gaffel]] is a translation of [[fork]],2.0
分かれ目,/c/ja/分かれ目/n/jmdict/1,Synonym,fork,/c/en/fork,,2.0
hayfork,/c/en/hayfork/n/wn/artifact,IsA,fork,/c/en/fork/n/wn/artifact,[[hayfork]] is a type of [[fork]],2.0
fork,/c/en/fork/n/wn/act,Synonym,branching,/c/en/branching/n/wn/act,[[fork]] is a synonym of [[branching]],2.0
a fork,/c/en/fork,UsedFor,eat dinner,/c/en/eat_dinner,You can use [[a fork]] to [[eat dinner]],2.0
fork,/c/en/fork/n/wn/body,Synonym,crotch,/c/en/crotch/n/wn/body,[[fork]] is a synonym of [[crotch]],2.0
podeliti,/c/sh/podeliti/v,RelatedTo,fork,/c/en/fork,,2.0
forchetta,/c/it/forchetta/n/wn/artifact,Synonym,fork,/c/en/fork/n/wn/artifact,[[forchetta]] is a translation of [[fork]],2.0
bifurcation,/c/fr/bifurcation/v/wn/chess,Synonym,fork,/c/en/fork/v/wn/chess,[[bifurcation]] is a translation of [[fork]],2.0
blegar,/c/ca/blegar/v/wn/change,Synonym,fork,/c/en/fork/v/wn/change,[[blegar]] is a translation of [[fork]],2.0
fork,/c/en/fork/v/wn/chess,HasContext,chess,/c/en/chess/n/wn/act,[[fork]] is used in the context of [[chess]],2.0
garpu,/c/id/garpu/n/wn/artifact,Synonym,fork,/c/en/fork/n/wn/artifact,[[garpu]] is a translation of [[fork]],2.0
fork,/c/en/fork/n/wn/artifact,IsA,cutlery,/c/en/cutlery/n/wn/artifact,[[fork]] is a type of [[cutlery]],2.0
fourchette,/c/fr/fourchette/v/wn/chess,Synonym,fork,/c/en/fork/v/wn/chess,[[fourchette]] is a translation of [[fork]],2.0
fork,/c/en/fork/v/wn/change,MannerOf,form,/c/en/form/v/wn/change,[[fork]] is a way to [[form]],2.0
razdeljivati,/c/sh/razdeljivati/v,RelatedTo,fork,/c/en/fork,,2.0
fork,/c/en/fork/v/wn/contact,Synonym,pitchfork,/c/en/pitchfork/v/wn/contact,[[fork]] is a synonym of [[pitchfork]],2.0
