subject,subject_id,relation,object,object_id,surface_text,weight
oj,/c/en/oj/n,RelatedTo,orange juice,/c/en/orange_juice,,1.0
orange juice,/c/en/orange_juice/n,RelatedTo,orange,/c/fr/orange,,1.0
jus d orange,/c/nl/jus_d_orange/n,RelatedTo,orange juice,/c/en/orange_juice,,1.0
portakal suyu,/c/tr/portakal_suyu/n,RelatedTo,orange juice,/c/en/orange_juice,,1.0
screwdriver,/c/en/screwdriver/n,RelatedTo,orange juice,/c/en/orange_juice,,1.0
appelsiinimehu,/c/fi/appelsiinimehu/n,RelatedTo,orange juice,/c/en/orange_juice,,1.0
orange juice,/c/en/orange_juice/n,Synonym,橘汁,/c/zh/橘汁,,1.0
apelsinjuice,/c/sv/apelsinjuice/n,RelatedTo,orange juice,/c/en/orange_juice,,1.0
orange juice,/c/en/orange_juice/n,Synonym,sari buah jeruk,/c/id/sari_buah_jeruk,,1.0
柳橙汁,/c/zh/柳橙汁,Synonym,orange juice,/c/en/orange_juice,,1.0
orange juice,/c/en/orange_juice/n,Synonym,apelsinjuice,/c/sv/apelsinjuice,,1.0
orange juice,/c/en/orange_juice/n,Synonym,jus d orange,/c/nl/jus_d_orange,,1.0
jus d orange,/c/fr/jus_d_orange/n,RelatedTo,orange juice,/c/en/orange_juice,,1.0
orange juice,/c/en/orange_juice/n,RelatedTo,jus,/c/fr/jus,,1.0
orange juice,/c/en/orange_juice/n,Synonym,jus oren,/c/ms/jus_oren,,1.0
orange juice,/c/en/orange_juice,ExternalURL,Orange juice,http://dbpedia.org/resource/Orange_juice,,1.0
apelsīnu sula,/c/lv/apelsīnu_sula/n,RelatedTo,orange juice,/c/en/orange_juice,,1.0
appelsínusafi,/c/is/appelsínusafi/n,RelatedTo,orange juice,/c/en/orange_juice,,1.0
tequila sunrise,/c/en/tequila_sunrise/n,RelatedTo,orange juice,/c/en/orange_juice,,1.0
橘子汁,/c/zh/橘子汁,Synonym,orange juice,/c/en/orange_juice,,1.0
orange juice,/c/en/orange_juice/n,Synonym,appelsiinimehu,/c/fi/appelsiinimehu,,1.0
jus d’ orange,/c/fr/jus_d’_orange/n,Synonym,orange juice,/c/en/orange_juice,,1.0
orange juice,/c/en/orange_juice/n,Synonym,오렌지 주스,/c/ko/오렌지_주스,,1.0
shirley temple,/c/en/shirley_temple/n,RelatedTo,orange juice,/c/en/orange_juice,,1.0
orange juice,/c/en/orange_juice/n,Synonym,o saft,/c/de/o_saft,,1.0
オレンジジュース,/c/ja/オレンジジュース/n,RelatedTo,orange juice,/c/en/orange_juice,,1.0
apfelsinensaft,/c/de/apfelsinensaft/n,RelatedTo,orange juice,/c/en/orange_juice,,1.0
오렌지 주스,/c/ko/오렌지_주스/n,RelatedTo,orange juice,/c/en/orange_juice,,1.0
orange juice,/c/en/orange_juice,DerivedFrom,juice,/c/en/juice/n/wikt/en_1,,1.0
harvey wallbanger,/c/en/harvey_wallbanger/n,RelatedTo,orange juice,/c/en/orange_juice,,1.0
orange juice,/c/en/orange_juice,ExternalURL,OrangeJuice,http://umbel.org/umbel/sc/OrangeJuice,,1.0
orange juices,/c/en/orange_juices/n,FormOf,orange juice,/c/en/orange_juice,,1.0
zumo de naranja,/c/es/zumo_de_naranja/n,RelatedTo,orange juice,/c/en/orange_juice,,1.0
orange juice,/c/en/orange_juice/n,ExternalURL,Orange juice,http://sw.opencyc.org/2012/05/10/concept/en/Orange_juice,,1.0
Orange juice,/c/en/orange_juice,IsA,acidic,/c/en/acidic,[[Orange juice]] is [[acidic]],1.0
orange juice,/c/en/orange_juice,AtLocation,a carton,/c/en/carton,You are likely to find [[orange juice]] in [[a carton]].,1.0
succo d arancia,/c/it/succo_d_arancia/n,RelatedTo,orange juice,/c/en/orange_juice,,1.0
orange juice,/c/en/orange_juice/n,Synonym,oranžni sok,/c/sl/oranžni_sok,,1.0
orange juice,/c/en/orange_juice,IsA,a liquid,/c/en/liquid,[[orange juice]] is [[a liquid]],1.0
orange juice,/c/en/orange_juice/n,Synonym,jus d orange,/c/fr/jus_d_orange,,1.0
orange juice,/c/en/orange_juice/n,Synonym,柳橙汁,/c/zh/柳橙汁,,1.0
orange juice,/c/en/orange_juice/n,Synonym,柳丁汁,/c/hak/柳丁汁,,1.0
Orange juice,/c/en/orange_juice,IsA,a complex liquid,/c/en/complex_liquid,[[Orange juice]] is [[a complex liquid]],1.0
tizana,/c/es/tizana/n,RelatedTo,orange juice,/c/en/orange_juice,,1.0
orange juice,/c/en/orange_juice/n,Synonym,sok pomarańczowy,/c/pl/sok_pomarańczowy,,1.0
appelsinsákta,/c/se/appelsinsákta/n,RelatedTo,orange juice,/c/en/orange_juice,,1.0
oj,/c/en/oj,DerivedFrom,orange juice,/c/en/orange_juice/n,,1.0
오렌지 주스,/c/ko/오렌지_주스,EtymologicallyDerivedFrom,orange juice,/c/en/orange_juice,,1.0
orange juice,/c/en/orange_juice/n,Synonym,suc de taronja,/c/ca/suc_de_taronja,,1.0
orange juice,/c/en/orange_juice/n/wn/food,ExternalURL,107941074-n,http://wordnet-rdf.princeton.edu/wn31/107941074-n,,1.0
appelsinjuice,/c/da/appelsinjuice/n,RelatedTo,orange juice,/c/en/orange_juice,,1.0
campari,/c/en/campari/n,RelatedTo,orange juice,/c/en/orange_juice,,1.0
orange juice,/c/en/orange_juice/n,IsA,sweet thing,/c/en/sweet_thing/n,,1.0
maji ya machungwa,/c/sw/maji_ya_machungwa/n,RelatedTo,orange juice,/c/en/orange_juice,,1.0
orange juice,/c/en/orange_juice/n,Synonym,pomerančový džus,/c/cs/pomerančový_džus,,1.0
orange juice,/c/en/orange_juice/n,Synonym,χυμοσ πορτοκαλιου,/c/el/χυμοσ_πορτοκαλιου,,1.0
orange juice,/c/en/orange_juice/n,RelatedTo,beverage,/c/en/beverage,,1.0
orangensaft,/c/de/orangensaft/n,RelatedTo,orange juice,/c/en/orange_juice,,1.0
橘汁,/c/zh/橘汁/n,RelatedTo,orange juice,/c/en/orange_juice,,1.0
orange juice,/c/en/orange_juice/n,Synonym,portakal suyu,/c/tr/portakal_suyu,,1.0
orange juice,/c/en/orange_juice/n,Synonym,柳丁汁,/c/nan/柳丁汁,,1.0
orange juice,/c/en/orange_juice/n,Synonym,オレンジジュース,/c/ja/オレンジジュース,,1.0
orange juice,/c/en/orange_juice/n,IsA,juice,/c/en/juice/n,,1.0
orange juice,/c/en/orange_juice/n,Synonym,chʼil łitsxooí bitooʼ,/c/nv/chʼil_łitsxooí_bitooʼ,,1.0
πορτοκαλάδα,/c/el/πορτοκαλάδα/n,RelatedTo,orange juice,/c/en/orange_juice,,1.0
orange juice,/c/en/orange_juice/n,Synonym,appelsínusafi,/c/is/appelsínusafi,,1.0
orange juice,/c/en/orange_juice/n,Synonym,appelsiinitäysmehu,/c/fi/appelsiinitäysmehu,,1.0
orange juice,/c/en/orange_juice/n,Synonym,narancslé,/c/hu/narancslé,,1.0
orange juice,/c/en/orange_juice/n,Synonym,succo d arancia,/c/it/succo_d_arancia,,1.0
orange juice,/c/en/orange_juice/n,Synonym,橙汁,/c/zh/橙汁,,1.0
orange juice,/c/en/orange_juice,ExternalURL,Q219059,http://wikidata.dbpedia.org/resource/Q219059,,1.0
sinaasappelsap,/c/nl/sinaasappelsap/n,RelatedTo,orange juice,/c/en/orange_juice,,1.0
orange juice,/c/en/orange_juice/n,Synonym,сок од портокал,/c/mk/сок_од_портокал,,1.0
橙汁,/c/zh/橙汁/n,RelatedTo,orange juice,/c/en/orange_juice,,1.0
ទឹកក្រូច,/c/km/ទឹកក្រូច/n,RelatedTo,orange juice,/c/en/orange_juice,,1.0
